provincia,cultivo,campaña,sup_cultivada,sup_cosechada,producción,rendimiento
Buenos Aires,Ajo,1969/1970,5290,5290,23458,278954
Buenos Aires,Ajo,1970/1971,5690,5620,25358,257451
Buenos Aires,Ajo,1971/1972,5960,5930,26860,240770
Buenos Aires,Ajo,1972/1973,6640,6600,32658,220810
Buenos Aires,Ajo,1973/1974,7690,7685,39959,185153
Buenos Aires,Ajo,1974/1975,7290,7290,37959,182327
Buenos Aires,Ajo,1975/1976,7740,7740,39458,161015
Buenos Aires,Ajo,1976/1977,8390,8390,42358,162118
Buenos Aires,Ajo,1977/1978,8990,8990,40960,102445
Buenos Aires,Ajo,1978/1979,8890,8890,39960,94322
Buenos Aires,Ajo,1979/1980,8890,8890,40960,92633
Buenos Aires,Ajo,1980/1981,6722,6722,30957,106001
Buenos Aires,Ajo,1983/1984,1810,1810,7200,43421
Buenos Aires,Ajo,1984/1985,1550,1550,6200,45303
Buenos Aires,Ajo,1985/1986,1100,1100,4100,41373
Buenos Aires,Ajo,1986/1987,830,830,3690,41337
Buenos Aires,Ajo,1987/1988,1130,1130,4400,34880
Buenos Aires,Ajo,1981/1982,1610,1610,6800,71325
Buenos Aires,Ajo,1982/1983,1630,1630,7100,38176
Buenos Aires,Ajo,1989/1990,630,583,3102,10351
Buenos Aires,Ajo,1990/1991,850,793,4430,10652
Buenos Aires,Ajo,1991/1992,1070,1002,5357,9479
Buenos Aires,Ajo,1992/1993,590,501,2930,11410
Buenos Aires,Ajo,1993/1994,509,504,2555,10084
Buenos Aires,Ajo,1994/1995,706,650,3448,9899
Buenos Aires,Ajo,1995/1996,820,745,4175,19326
Buenos Aires,Ajo,1996/1997,598,502,2810,14222
Buenos Aires,Ajo,1997/1998,837,762,4963,10747
Buenos Aires,Ajo,1988/1989,1050,1050,4400,4190
Catamarca,Ajo,1969/1970,90,90,90,12000
Catamarca,Ajo,1970/1971,76,62,50,9415
Catamarca,Ajo,1971/1972,90,90,50,6592
Catamarca,Ajo,1973/1974,45,45,82,17166
Catamarca,Ajo,1974/1975,40,40,90,18859
Catamarca,Ajo,1975/1976,130,130,250,14613
Catamarca,Ajo,1976/1977,190,190,370,13242
Catamarca,Ajo,1977/1978,220,220,520,14811
Catamarca,Ajo,1978/1979,223,223,470,13456
Catamarca,Ajo,1979/1980,225,225,510,14458
Catamarca,Ajo,1980/1981,207,207,520,16827
Catamarca,Ajo,1981/1982,198,198,483,12205
Catamarca,Ajo,1982/1983,180,180,440,16902
Catamarca,Ajo,1983/1984,238,238,600,16806
Catamarca,Ajo,1984/1985,230,230,590,16926
Catamarca,Ajo,1985/1986,220,220,570,17150
Catamarca,Ajo,1986/1987,300,300,750,17752
Catamarca,Ajo,1987/1988,280,280,700,17750
Catamarca,Ajo,1989/1990,190,180,494,17633
Catamarca,Ajo,1990/1991,280,280,750,21343
Catamarca,Ajo,1991/1992,227,227,481,14894
Catamarca,Ajo,1992/1993,120,120,232,13275
Catamarca,Ajo,1993/1994,240,240,552,16677
Catamarca,Ajo,1994/1995,119,119,418,24539
Catamarca,Ajo,1995/1996,111,111,435,26833
Catamarca,Ajo,1996/1997,111,111,435,26833
Catamarca,Ajo,1997/1998,113,113,493,29000
Catamarca,Ajo,1972/1973,49,39,50,7333
Catamarca,Ajo,1988/1989,200,200,520,2600
Chaco,Ajo,1969/1970,170,140,560,44000
Chaco,Ajo,1970/1971,206,206,870,54250
Chaco,Ajo,1971/1972,93,93,300,43187
Chaco,Ajo,1979/1980,24,24,80,24833
Chaco,Ajo,1980/1981,22,20,54,18333
Chaco,Ajo,1972/1973,100,95,310,37347
Chaco,Ajo,1973/1974,70,70,259,39717
Chaco,Ajo,1974/1975,55,55,180,32858
Chaco,Ajo,1975/1976,44,44,134,30050
Chaco,Ajo,1976/1977,17,16,33,11750
Chaco,Ajo,1977/1978,20,20,36,11667
Chaco,Ajo,1978/1979,16,14,26,9714
Chaco,Ajo,1981/1982,32,32,76,13400
Chaco,Ajo,1982/1983,44,39,82,13833
Chaco,Ajo,1983/1984,38,36,82,13286
Chaco,Ajo,1984/1985,35,35,70,12000
Chaco,Ajo,1985/1986,17,17,42,7000
Chaco,Ajo,1986/1987,11,8,18,4286
Chaco,Ajo,1987/1988,5,5,12,4500
Chubut,Ajo,1969/1970,110,110,630,28628
Chubut,Ajo,1970/1971,107,102,610,29953
Chubut,Ajo,1971/1972,110,110,630,28587
Chubut,Ajo,1972/1973,80,78,450,28681
Chubut,Ajo,1973/1974,87,87,497,28593
Chubut,Ajo,1974/1975,90,90,540,29892
Chubut,Ajo,1975/1976,97,97,562,28800
Chubut,Ajo,1976/1977,104,104,600,28746
Chubut,Ajo,1977/1978,100,100,600,29546
